dummy2, 'En fin insert here', Denmark, 768, M, 1029, 597, Yellow, 179, 2
HM, 'En fin insert here', Germany, 641, SX, 1556, 700, Pink, 121, 3
HM, 'En fin insert here', Denmark, 237, S, 1238, 470, Blue, 154, 1
Cubus, 'En fin insert here', Norway, 312, SX, 725, 142, Blue, 13, 3
Cubus, 'En fin insert here', Norway, 561, S, 896, 992, Green, 10, 3
QM, 'En fin insert here', New Zealand, 1029, SX, 606, 680, Yellow, 172, 1
Cubus, 'En fin insert here', Norway, 383, M, 1833, 414, Green, 21, 3
HM, 'En fin insert here', Germany, 1045, SX, 1975, 661, Green, 186, 3
Cubus, 'En fin insert here', Norway, 839, M, 221, 584, Cyan, 104, 2
QM, 'En fin insert here', Denmark, 1164, M, 306, 823, Cyan, 81, 3
HM, 'En fin insert here', Finland, 907, XXL, 683, 850, Green, 133, 3
QM, 'En fin insert here', Norway, 273, M, 1405, 1002, Cyan, 98, 3
dummy1, 'En fin insert here', Germany, 595, M, 1047, 711, Green, 34, 1
HM, 'En fin insert here', Norway, 596, SX, 1603, 163, Purple, 148, 2
dummy1, 'En fin insert here', Denmark, 931, M, 705, 527, Purple, 181, 1
dummy1, 'En fin insert here', Denmark, 1193, XL, 1599, 753, Cyan, 142, 2
HM, 'En fin insert here', Norway, 283, M, 496, 411, Blue, 191, 1
HM, 'En fin insert here', Sweden, 624, XL, 289, 960, Blue, 157, 3
HM, 'En fin insert here', Sweden, 245, L, 1096, 205, Cyan, 69, 3
Cubus, 'En fin insert here', Denmark, 415, M, 1726, 110, Cyan, 103, 1
dummy2, 'En fin insert here', Finland, 476, SX, 903, 108, Purple, 139, 3
dummy1, 'En fin insert here', Denmark, 1019, M, 1253, 554, Blue, 112, 1
HM, 'En fin insert here', Denmark, 284, SX, 1504, 101, Purple, 112, 3
dummy1, 'En fin insert here', Germany, 486, M, 236, 1038, Purple, 140, 2
dummy2, 'En fin insert here', Sweden, 1169, S, 627, 268, Cyan, 30, 3
Cubus, 'En fin insert here', Germany, 1050, XL, 927, 917, Blue, 137, 3
Cubus, 'En fin insert here', Finland, 471, S, 1960, 1011, Yellow, 195, 2
dummy2, 'En fin insert here', Germany, 299, XL, 1386, 1026, Green, 89, 2
dummy2, 'En fin insert here', Denmark, 1150, S, 153, 655, Purple, 22, 2
dummy2, 'En fin insert here', Germany, 783, XL, 389, 877, Pink, 55, 3
HM, 'En fin insert here', Denmark, 965, S, 1918, 655, Cyan, 42, 2
HM, 'En fin insert here', Norway, 494, M, 846, 263, Cyan, 154, 3
Cubus, 'En fin insert here', Norway, 234, M, 783, 453, Pink, 88, 2
HM, 'En fin insert here', Finland, 415, SX, 1202, 184, Purple, 80, 1
Cubus, 'En fin insert here', Finland, 907, L, 194, 956, Blue, 192, 3
QM, 'En fin insert here', Germany, 832, S, 801, 400, Yellow, 95, 1
dummy1, 'En fin insert here', Germany, 693, XXL, 679, 292, Pink, 152, 1
HM, 'En fin insert here', Finland, 504, XL, 1677, 149, Green, 34, 1
dummy2, 'En fin insert here', Norway, 854, SX, 1029, 442, Green, 66, 3
QM, 'En fin insert here', Norway, 391, SX, 1454, 1004, Cyan, 185, 3
dummy1, 'En fin insert here', Norway, 250, S, 631, 1042, Pink, 155, 3
dummy2, 'En fin insert here', Sweden, 1019, XXL, 2069, 267, Blue, 146, 1
HM, 'En fin insert here', Finland, 1062, XXL, 725, 728, Blue, 93, 3
QM, 'En fin insert here', New Zealand, 541, XXL, 1453, 201, Purple, 137, 1
HM, 'En fin insert here', Germany, 887, S, 1837, 337, Blue, 108, 3
dummy1, 'En fin insert here', Sweden, 1125, S, 1837, 406, Green, 144, 3
dummy1, 'En fin insert here', Sweden, 975, XXL, 1633, 754, Green, 40, 2
dummy1, 'En fin insert here', Sweden, 737, S, 1916, 594, Pink, 2, 1
QM, 'En fin insert here', Finland, 453, S, 1690, 639, Yellow, 68, 3
dummy1, 'En fin insert here', Finland, 717, S, 692, 434, Pink, 177, 2
dummy1, 'En fin insert here', Germany, 739, M, 180, 728, Cyan, 90, 3
Cubus, 'En fin insert here', Denmark, 869, SX, 199, 374, Yellow, 29, 3
QM, 'En fin insert here', Germany, 229, L, 1975, 492, Pink, 26, 1
dummy1, 'En fin insert here', Denmark, 706, M, 372, 921, Blue, 101, 2
dummy1, 'En fin insert here', Germany, 729, M, 697, 758, Purple, 75, 1
dummy1, 'En fin insert here', Finland, 277, XL, 1501, 150, Cyan, 167, 1
dummy2, 'En fin insert here', Denmark, 636, SX, 244, 198, Green, 176, 2
Cubus, 'En fin insert here', Finland, 1044, SX, 1056, 624, Blue, 46, 3
QM, 'En fin insert here', Germany, 657, XL, 312, 375, Purple, 176, 3
dummy2, 'En fin insert here', New Zealand, 816, M, 267, 543, Yellow, 186, 2
dummy2, 'En fin insert here', Sweden, 1049, XL, 206, 739, Purple, 182, 1
QM, 'En fin insert here', New Zealand, 272, XL, 521, 312, Purple, 96, 3
dummy1, 'En fin insert here', New Zealand, 507, XL, 452, 703, Purple, 112, 1
dummy1, 'En fin insert here', New Zealand, 1094, XL, 809, 892, Green, 98, 3
Cubus, 'En fin insert here', Finland, 1149, XL, 1331, 404, Yellow, 176, 2
QM, 'En fin insert here', Finland, 676, XXL, 448, 553, Blue, 64, 1
Cubus, 'En fin insert here', New Zealand, 629, SX, 852, 965, Purple, 151, 3
QM, 'En fin insert here', Sweden, 332, L, 556, 864, Blue, 135, 1
QM, 'En fin insert here', Norway, 897, XXL, 1947, 854, Yellow, 94, 3
HM, 'En fin insert here', New Zealand, 270, SX, 1025, 998, Green, 104, 1
HM, 'En fin insert here', New Zealand, 1007, SX, 505, 730, Cyan, 198, 1
dummy1, 'En fin insert here', Finland, 838, M, 1000, 689, Yellow, 124, 1
HM, 'En fin insert here', Sweden, 730, S, 1510, 347, Blue, 107, 1
HM, 'En fin insert here', Germany, 858, XXL, 593, 900, Purple, 104, 3
QM, 'En fin insert here', Germany, 221, SX, 1996, 839, Blue, 34, 2
dummy1, 'En fin insert here', Denmark, 987, SX, 399, 540, Green, 38, 2
HM, 'En fin insert here', Sweden, 890, L, 446, 81, Yellow, 127, 1
dummy2, 'En fin insert here', Sweden, 718, XL, 964, 189, Pink, 164, 3
dummy1, 'En fin insert here', Denmark, 512, XXL, 1312, 279, Pink, 151, 1
QM, 'En fin insert here', New Zealand, 1194, L, 147, 140, Yellow, 71, 3
dummy1, 'En fin insert here', Finland, 844, S, 726, 1042, Blue, 28, 1
QM, 'En fin insert here', New Zealand, 525, XL, 1948, 760, Purple, 6, 1
QM, 'En fin insert here', Finland, 762, M, 1340, 163, Pink, 106, 3
dummy2, 'En fin insert here', Germany, 476, S, 889, 749, Purple, 193, 1
Cubus, 'En fin insert here', Denmark, 593, L, 1258, 78, Purple, 134, 1
QM, 'En fin insert here', Finland, 931, S, 1680, 706, Yellow, 176, 1
HM, 'En fin insert here', Denmark, 981, S, 1206, 721, Purple, 124, 2
Cubus, 'En fin insert here', Norway, 529, XL, 996, 235, Green, 63, 2
dummy2, 'En fin insert here', Finland, 1075, L, 716, 525, Pink, 46, 1
dummy1, 'En fin insert here', New Zealand, 764, XXL, 925, 392, Pink, 75, 3
dummy2, 'En fin insert here', Finland, 1067, XL, 1785, 983, Purple, 144, 2
QM, 'En fin insert here', New Zealand, 627, L, 636, 462, Yellow, 138, 3
dummy2, 'En fin insert here', Finland, 932, L, 146, 570, Purple, 136, 1
Cubus, 'En fin insert here', Finland, 560, L, 1188, 1052, Yellow, 94, 3
dummy2, 'En fin insert here', Sweden, 629, XXL, 608, 1008, Green, 181, 3
HM, 'En fin insert here', Germany, 1172, L, 245, 596, Blue, 69, 1
dummy1, 'En fin insert here', Finland, 534, XL, 1488, 991, Blue, 167, 3
dummy1, 'En fin insert here', Sweden, 426, XXL, 453, 596, Yellow, 193, 3
dummy1, 'En fin insert here', Norway, 938, XXL, 1264, 360, Yellow, 183, 3
dummy2, 'En fin insert here', Denmark, 581, XL, 532, 189, Yellow, 65, 2
dummy2, 'En fin insert here', Germany, 662, XL, 1131, 239, Blue, 195, 3
Cubus, 'En fin insert here', Germany, 783, S, 1043, 369, Cyan, 42, 3
QM, 'En fin insert here', Norway, 474, M, 1544, 990, Cyan, 136, 1
QM, 'En fin insert here', New Zealand, 1038, SX, 1118, 756, Cyan, 23, 1
HM, 'En fin insert here', Germany, 346, XL, 161, 772, Yellow, 123, 3
Cubus, 'En fin insert here', Finland, 391, XXL, 258, 666, Green, 144, 2
QM, 'En fin insert here', Denmark, 955, L, 976, 568, Cyan, 148, 2
QM, 'En fin insert here', Denmark, 536, XXL, 1940, 950, Yellow, 114, 3
dummy2, 'En fin insert here', Germany, 804, L, 1082, 439, Blue, 184, 2
HM, 'En fin insert here', Sweden, 689, XXL, 605, 509, Yellow, 24, 2
dummy2, 'En fin insert here', Finland, 359, S, 877, 223, Cyan, 44, 3
dummy1, 'En fin insert here', Norway, 782, SX, 1496, 440, Yellow, 29, 1
HM, 'En fin insert here', Sweden, 674, M, 1399, 555, Pink, 42, 3
dummy1, 'En fin insert here', Finland, 1077, XL, 410, 1061, Cyan, 166, 2
dummy1, 'En fin insert here', New Zealand, 600, XXL, 369, 773, Purple, 55, 1
HM, 'En fin insert here', Finland, 1179, S, 654, 605, Green, 61, 1
dummy1, 'En fin insert here', Sweden, 298, L, 1171, 562, Green, 49, 2
HM, 'En fin insert here', New Zealand, 582, XXL, 1572, 1046, Blue, 33, 1
dummy1, 'En fin insert here', Denmark, 970, M, 2043, 106, Green, 107, 2
dummy1, 'En fin insert here', Denmark, 279, XL, 1340, 154, Pink, 81, 2
dummy1, 'En fin insert here', Sweden, 908, L, 728, 148, Pink, 53, 3
HM, 'En fin insert here', Sweden, 626, SX, 1342, 107, Green, 156, 3
Cubus, 'En fin insert here', New Zealand, 637, SX, 995, 425, Yellow, 118, 3
QM, 'En fin insert here', Sweden, 250, XL, 1560, 222, Pink, 21, 3
dummy2, 'En fin insert here', Sweden, 239, SX, 1394, 566, Pink, 148, 3
dummy1, 'En fin insert here', Sweden, 236, SX, 1091, 561, Blue, 134, 1
HM, 'En fin insert here', Germany, 1014, M, 388, 85, Yellow, 175, 3
QM, 'En fin insert here', New Zealand, 1018, L, 502, 1045, Yellow, 90, 3
HM, 'En fin insert here', Finland, 1083, L, 1888, 465, Pink, 50, 3
Cubus, 'En fin insert here', Sweden, 359, XXL, 331, 207, Yellow, 25, 1
dummy2, 'En fin insert here', Finland, 365, M, 96, 782, Yellow, 30, 1
dummy2, 'En fin insert here', Germany, 638, SX, 153, 780, Blue, 119, 1
dummy2, 'En fin insert here', Germany, 1021, S, 1907, 239, Purple, 113, 1
dummy2, 'En fin insert here', New Zealand, 490, M, 1095, 831, Yellow, 47, 3
dummy1, 'En fin insert here', Denmark, 1011, SX, 359, 485, Blue, 93, 3
HM, 'En fin insert here', Sweden, 915, XL, 1477, 629, Blue, 58, 3
dummy2, 'En fin insert here', Denmark, 801, XL, 1470, 360, Green, 155, 1
QM, 'En fin insert here', New Zealand, 717, L, 1972, 283, Yellow, 149, 2
dummy2, 'En fin insert here', Germany, 803, S, 1533, 461, Green, 187, 3
HM, 'En fin insert here', Finland, 296, XXL, 1410, 464, Cyan, 27, 3
HM, 'En fin insert here', Norway, 440, M, 90, 893, Blue, 43, 1
dummy2, 'En fin insert here', Norway, 379, S, 150, 820, Purple, 79, 3
QM, 'En fin insert here', Finland, 822, XXL, 186, 199, Pink, 17, 3
Cubus, 'En fin insert here', Denmark, 924, XXL, 1301, 417, Yellow, 37, 2
Cubus, 'En fin insert here', Germany, 265, XL, 1816, 1032, Green, 7, 1
QM, 'En fin insert here', Germany, 461, XXL, 1717, 1024, Green, 189, 2
HM, 'En fin insert here', New Zealand, 300, XXL, 626, 688, Yellow, 59, 2
dummy1, 'En fin insert here', Denmark, 985, L, 442, 358, Green, 151, 2
Cubus, 'En fin insert here', Sweden, 835, XL, 832, 990, Blue, 53, 1
HM, 'En fin insert here', Denmark, 594, SX, 789, 78, Yellow, 182, 2
dummy2, 'En fin insert here', New Zealand, 383, M, 884, 1010, Yellow, 26, 1
dummy2, 'En fin insert here', Norway, 601, M, 1253, 159, Green, 192, 3
Cubus, 'En fin insert here', Norway, 1058, XXL, 1437, 83, Yellow, 67, 2
QM, 'En fin insert here', Norway, 536, M, 2039, 817, Purple, 11, 2
HM, 'En fin insert here', New Zealand, 779, L, 1526, 122, Purple, 189, 1
dummy2, 'En fin insert here', Denmark, 891, XXL, 1921, 348, Yellow, 110, 3
HM, 'En fin insert here', Finland, 575, SX, 1495, 763, Yellow, 54, 2
dummy1, 'En fin insert here', Denmark, 947, XXL, 965, 178, Yellow, 37, 1
dummy2, 'En fin insert here', Finland, 609, XXL, 1190, 547, Green, 108, 1
Cubus, 'En fin insert here', Germany, 404, L, 1083, 529, Blue, 157, 2
QM, 'En fin insert here', Sweden, 937, S, 895, 715, Yellow, 104, 3
Cubus, 'En fin insert here', Finland, 706, L, 1828, 1051, Blue, 152, 1
dummy1, 'En fin insert here', Norway, 270, M, 549, 397, Yellow, 153, 3
dummy2, 'En fin insert here', Norway, 1190, M, 761, 364, Cyan, 140, 1
HM, 'En fin insert here', Finland, 319, XL, 830, 882, Blue, 135, 2
HM, 'En fin insert here', Sweden, 1196, XL, 1377, 172, Purple, 106, 1
QM, 'En fin insert here', Finland, 1089, XL, 1785, 617, Purple, 143, 1
dummy1, 'En fin insert here', New Zealand, 725, SX, 2060, 647, Blue, 50, 2
QM, 'En fin insert here', New Zealand, 783, XL, 1719, 898, Blue, 9, 1
HM, 'En fin insert here', Sweden, 515, XXL, 2003, 391, Green, 179, 1
QM, 'En fin insert here', New Zealand, 814, SX, 1952, 169, Yellow, 195, 2
dummy2, 'En fin insert here', Germany, 725, XXL, 518, 495, Purple, 59, 3
dummy2, 'En fin insert here', Norway, 439, XL, 1369, 710, Purple, 17, 1
dummy2, 'En fin insert here', Sweden, 958, S, 959, 1029, Purple, 110, 1
Cubus, 'En fin insert here', Finland, 242, S, 818, 387, Cyan, 15, 1
dummy1, 'En fin insert here', Sweden, 379, M, 1218, 405, Cyan, 32, 1
dummy1, 'En fin insert here', Denmark, 515, SX, 850, 1033, Blue, 161, 2
dummy2, 'En fin insert here', Germany, 708, XXL, 340, 705, Green, 198, 2
Cubus, 'En fin insert here', Sweden, 393, XL, 891, 249, Cyan, 135, 1
dummy2, 'En fin insert here', New Zealand, 747, M, 1603, 517, Cyan, 175, 2
QM, 'En fin insert here', Finland, 410, L, 1761, 85, Blue, 191, 2
Cubus, 'En fin insert here', Norway, 236, XXL, 752, 302, Green, 140, 2
QM, 'En fin insert here', Norway, 605, M, 167, 1050, Blue, 150, 1
HM, 'En fin insert here', New Zealand, 1071, SX, 797, 413, Cyan, 147, 2
QM, 'En fin insert here', Germany, 752, XXL, 1809, 705, Purple, 86, 2
dummy2, 'En fin insert here', Finland, 747, M, 305, 751, Yellow, 70, 3
HM, 'En fin insert here', Sweden, 968, SX, 1614, 748, Yellow, 63, 1
dummy1, 'En fin insert here', Norway, 691, S, 1209, 1028, Pink, 166, 3
dummy1, 'En fin insert here', Germany, 449, M, 1357, 573, Cyan, 99, 1
dummy1, 'En fin insert here', Denmark, 486, S, 1379, 385, Blue, 185, 2
dummy2, 'En fin insert here', New Zealand, 473, L, 1436, 755, Green, 35, 2
HM, 'En fin insert here', Finland, 687, S, 1031, 342, Green, 81, 2
dummy2, 'En fin insert here', Denmark, 891, S, 571, 117, Purple, 198, 2
QM, 'En fin insert here', Sweden, 1198, XXL, 1650, 1022, Blue, 86, 1
QM, 'En fin insert here', Sweden, 292, XL, 1449, 602, Yellow, 68, 2
QM, 'En fin insert here', New Zealand, 589, SX, 235, 740, Yellow, 58, 1
HM, 'En fin insert here', Denmark, 600, XXL, 1744, 396, Purple, 125, 1
dummy1, 'En fin insert here', Norway, 534, SX, 797, 732, Green, 101, 2
Cubus, 'En fin insert here', Sweden, 619, SX, 244, 248, Yellow, 3, 2
HM, 'En fin insert here', Norway, 743, S, 1292, 502, Yellow, 63, 2
dummy1, 'En fin insert here', Germany, 224, L, 1327, 785, Blue, 36, 3
dummy1, 'En fin insert here', New Zealand, 959, S, 591, 781, Yellow, 183, 1
dummy2, 'En fin insert here', New Zealand, 1137, L, 297, 329, Cyan, 109, 3
HM, 'En fin insert here', Germany, 444, M, 1863, 839, Yellow, 78, 3
dummy2, 'En fin insert here', New Zealand, 214, M, 299, 239, Yellow, 129, 3
Cubus, 'En fin insert here', Norway, 896, M, 1245, 237, Cyan, 14, 2
QM, 'En fin insert here', New Zealand, 1074, S, 324, 281, Green, 144, 1
dummy1, 'En fin insert here', Denmark, 393, SX, 1375, 890, Green, 141, 1
dummy2, 'En fin insert here', Denmark, 684, L, 1578, 431, Green, 6, 2
Cubus, 'En fin insert here', Denmark, 372, M, 1631, 647, Blue, 187, 3
QM, 'En fin insert here', Norway, 674, S, 1626, 628, Green, 33, 1
QM, 'En fin insert here', Norway, 1094, SX, 1259, 366, Cyan, 31, 3
QM, 'En fin insert here', Norway, 1071, XXL, 1353, 699, Blue, 17, 3
dummy2, 'En fin insert here', Norway, 676, L, 984, 740, Cyan, 124, 2
HM, 'En fin insert here', Sweden, 1072, XL, 1890, 277, Yellow, 178, 3
HM, 'En fin insert here', Germany, 1049, S, 865, 325, Yellow, 6, 1
HM, 'En fin insert here', Norway, 1153, SX, 1220, 902, Blue, 51, 2
HM, 'En fin insert here', Finland, 405, XXL, 1291, 738, Green, 143, 2
QM, 'En fin insert here', Norway, 1114, L, 849, 932, Green, 87, 1
HM, 'En fin insert here', New Zealand, 389, L, 331, 544, Green, 174, 2
dummy2, 'En fin insert here', New Zealand, 330, SX, 1888, 418, Pink, 103, 3
dummy1, 'En fin insert here', Finland, 299, L, 1178, 583, Blue, 56, 2
Cubus, 'En fin insert here', Finland, 466, M, 1796, 504, Purple, 11, 3
Cubus, 'En fin insert here', Germany, 1164, XXL, 1185, 436, Purple, 192, 2
Cubus, 'En fin insert here', New Zealand, 979, M, 696, 1019, Blue, 64, 1
Cubus, 'En fin insert here', New Zealand, 1097, XXL, 1029, 756, Green, 126, 1
HM, 'En fin insert here', Denmark, 817, XXL, 867, 174, Green, 119, 2
Cubus, 'En fin insert here', New Zealand, 295, M, 1151, 231, Blue, 74, 3
dummy1, 'En fin insert here', Denmark, 712, S, 1888, 907, Purple, 177, 3
HM, 'En fin insert here', Germany, 718, L, 1803, 908, Green, 184, 2
QM, 'En fin insert here', Finland, 415, S, 1964, 886, Cyan, 186, 3
Cubus, 'En fin insert here', Germany, 463, L, 1970, 259, Pink, 44, 2
dummy1, 'En fin insert here', Germany, 1016, S, 675, 395, Blue, 154, 2
HM, 'En fin insert here', Finland, 453, L, 1434, 1027, Pink, 120, 3
Cubus, 'En fin insert here', Sweden, 1064, XL, 445, 568, Yellow, 36, 2
QM, 'En fin insert here', Denmark, 1127, S, 1423, 687, Blue, 34, 2
dummy2, 'En fin insert here', Finland, 1028, XL, 1740, 251, Pink, 98, 2
QM, 'En fin insert here', Norway, 611, L, 763, 377, Blue, 117, 2
dummy2, 'En fin insert here', Sweden, 373, XXL, 212, 907, Blue, 1, 3
dummy1, 'En fin insert here', Finland, 621, L, 1924, 879, Yellow, 132, 1
HM, 'En fin insert here', New Zealand, 1175, XL, 756, 801, Pink, 155, 3
dummy2, 'En fin insert here', Finland, 748, L, 1415, 460, Purple, 86, 1
dummy1, 'En fin insert here', Germany, 368, M, 1435, 848, Yellow, 56, 1
Cubus, 'En fin insert here', New Zealand, 839, XXL, 270, 949, Pink, 81, 1
dummy2, 'En fin insert here', Denmark, 448, XXL, 1325, 611, Blue, 196, 2
QM, 'En fin insert here', Denmark, 958, M, 1088, 452, Blue, 158, 3
Cubus, 'En fin insert here', Sweden, 299, XXL, 176, 660, Blue, 184, 1
dummy2, 'En fin insert here', Germany, 426, M, 1299, 92, Pink, 79, 1
QM, 'En fin insert here', Sweden, 464, XXL, 1083, 451, Cyan, 195, 2
dummy1, 'En fin insert here', Germany, 228, S, 1871, 847, Pink, 5, 3
dummy2, 'En fin insert here', Germany, 1108, SX, 657, 790, Pink, 1, 1
QM, 'En fin insert here', Denmark, 1090, XL, 1478, 785, Pink, 8, 1
QM, 'En fin insert here', Germany, 554, S, 1931, 370, Green, 17, 2
dummy1, 'En fin insert here', Sweden, 926, XL, 71, 270, Green, 81, 1
QM, 'En fin insert here', Denmark, 904, S, 1024, 1046, Cyan, 38, 3
dummy1, 'En fin insert here', Norway, 975, S, 430, 196, Yellow, 117, 1
Cubus, 'En fin insert here', Sweden, 1195, M, 135, 278, Green, 104, 3
dummy2, 'En fin insert here', Norway, 1189, S, 1296, 207, Purple, 186, 3
HM, 'En fin insert here', Finland, 511, L, 750, 1053, Pink, 179, 2
HM, 'En fin insert here', Sweden, 695, L, 1380, 1058, Cyan, 43, 2
Cubus, 'En fin insert here', New Zealand, 802, L, 1602, 159, Yellow, 135, 3
QM, 'En fin insert here', Norway, 603, S, 176, 1006, Pink, 111, 1
Cubus, 'En fin insert here', Denmark, 259, XXL, 1320, 297, Pink, 152, 1
dummy1, 'En fin insert here', New Zealand, 305, XL, 1153, 461, Cyan, 107, 3
QM, 'En fin insert here', Denmark, 632, S, 1495, 270, Yellow, 111, 1
dummy2, 'En fin insert here', Sweden, 1146, S, 2012, 798, Green, 168, 2
dummy1, 'En fin insert here', Finland, 930, XXL, 266, 306, Blue, 176, 2
dummy2, 'En fin insert here', Germany, 382, S, 1468, 845, Yellow, 160, 3
QM, 'En fin insert here', Norway, 306, XL, 1065, 774, Yellow, 21, 3
dummy1, 'En fin insert here', Denmark, 435, S, 1992, 104, Green, 69, 3
Cubus, 'En fin insert here', Norway, 660, M, 1996, 337, Blue, 120, 1
HM, 'En fin insert here', Germany, 1050, S, 1105, 867, Blue, 177, 1
QM, 'En fin insert here', Norway, 1088, SX, 514, 972, Green, 53, 2
QM, 'En fin insert here', Denmark, 572, L, 595, 1050, Green, 129, 1
HM, 'En fin insert here', New Zealand, 374, M, 189, 992, Cyan, 168, 3
dummy1, 'En fin insert here', Germany, 583, XL, 617, 789, Yellow, 76, 3
dummy1, 'En fin insert here', New Zealand, 924, SX, 691, 368, Yellow, 101, 3
dummy1, 'En fin insert here', Norway, 779, SX, 862, 364, Blue, 31, 1
Cubus, 'En fin insert here', Denmark, 914, XL, 681, 263, Cyan, 72, 1
Cubus, 'En fin insert here', Germany, 809, SX, 1831, 788, Cyan, 191, 2
dummy2, 'En fin insert here', Germany, 993, L, 1174, 852, Pink, 144, 3
dummy1, 'En fin insert here', Sweden, 347, SX, 572, 806, Pink, 82, 3
QM, 'En fin insert here', Denmark, 431, S, 2034, 210, Cyan, 120, 1
QM, 'En fin insert here', Denmark, 468, M, 1441, 417, Blue, 49, 1
QM, 'En fin insert here', New Zealand, 762, L, 500, 951, Cyan, 172, 1
Cubus, 'En fin insert here', Sweden, 1059, SX, 124, 950, Yellow, 182, 3
dummy2, 'En fin insert here', Norway, 769, XXL, 1249, 923, Yellow, 73, 3
dummy2, 'En fin insert here', Sweden, 945, XL, 1451, 868, Cyan, 106, 2
HM, 'En fin insert here', Finland, 514, XL, 1148, 84, Cyan, 185, 2
dummy1, 'En fin insert here', New Zealand, 311, XXL, 1172, 479, Cyan, 142, 2
dummy1, 'En fin insert here', Germany, 746, XXL, 229, 400, Cyan, 135, 2
dummy1, 'En fin insert here', Germany, 614, M, 89, 359, Purple, 186, 1
Cubus, 'En fin insert here', Denmark, 768, L, 107, 400, Cyan, 42, 3
HM, 'En fin insert here', Norway, 1095, XL, 1018, 252, Cyan, 194, 2
dummy1, 'En fin insert here', Germany, 488, L, 1863, 94, Yellow, 129, 3
dummy1, 'En fin insert here', Sweden, 848, SX, 643, 875, Pink, 10, 1
dummy2, 'En fin insert here', Norway, 1099, L, 1961, 182, Purple, 81, 2
QM, 'En fin insert here', Denmark, 660, S, 866, 1053, Cyan, 58, 1
dummy2, 'En fin insert here', Germany, 1046, S, 464, 514, Green, 78, 2
QM, 'En fin insert here', Germany, 616, L, 611, 664, Yellow, 193, 2
dummy1, 'En fin insert here', Germany, 554, M, 2050, 168, Green, 114, 2
HM, 'En fin insert here', New Zealand, 241, S, 1109, 737, Cyan, 22, 3
HM, 'En fin insert here', Germany, 622, S, 1093, 859, Blue, 74, 1
dummy1, 'En fin insert here', Finland, 341, XL, 392, 961, Blue, 66, 1
dummy1, 'En fin insert here', Germany, 769, XL, 93, 299, Pink, 132, 3
QM, 'En fin insert here', Germany, 977, S, 1077, 417, Yellow, 127, 1
HM, 'En fin insert here', New Zealand, 248, L, 239, 760, Yellow, 72, 2
QM, 'En fin insert here', Denmark, 765, XXL, 1090, 125, Yellow, 53, 3
Cubus, 'En fin insert here', Germany, 759, S, 402, 561, Green, 16, 1
HM, 'En fin insert here', Sweden, 1043, M, 1414, 304, Cyan, 12, 3
dummy1, 'En fin insert here', Germany, 229, S, 1309, 775, Pink, 108, 1
dummy1, 'En fin insert here', New Zealand, 951, L, 722, 461, Pink, 132, 2
QM, 'En fin insert here', Sweden, 276, SX, 872, 481, Green, 95, 1
dummy1, 'En fin insert here', Germany, 477, M, 371, 491, Purple, 183, 3
Cubus, 'En fin insert here', New Zealand, 464, SX, 182, 352, Cyan, 166, 3
dummy1, 'En fin insert here', Sweden, 963, XL, 1536, 326, Yellow, 111, 1
dummy1, 'En fin insert here', Denmark, 1007, S, 1502, 856, Green, 16, 1
dummy1, 'En fin insert here', Denmark, 1102, SX, 1376, 331, Green, 136, 3
HM, 'En fin insert here', Norway, 361, XL, 1520, 446, Cyan, 195, 1
dummy2, 'En fin insert here', Germany, 1005, L, 914, 700, Blue, 187, 1
QM, 'En fin insert here', New Zealand, 907, SX, 1488, 504, Yellow, 185, 3
dummy2, 'En fin insert here', Denmark, 1184, XXL, 700, 867, Blue, 176, 1
Cubus, 'En fin insert here', New Zealand, 260, L, 221, 393, Cyan, 182, 3
Cubus, 'En fin insert here', Sweden, 657, S, 1191, 144, Cyan, 141, 2
Cubus, 'En fin insert here', Germany, 739, S, 598, 529, Yellow, 132, 3
QM, 'En fin insert here', New Zealand, 465, XL, 257, 794, Purple, 169, 3
HM, 'En fin insert here', Norway, 1161, XXL, 858, 686, Yellow, 15, 1
Cubus, 'En fin insert here', Norway, 370, XXL, 1079, 518, Pink, 42, 2
HM, 'En fin insert here', Norway, 444, L, 2046, 233, Cyan, 178, 1
dummy2, 'En fin insert here', New Zealand, 734, L, 948, 504, Blue, 6, 1
Cubus, 'En fin insert here', Finland, 1157, SX, 146, 162, Pink, 184, 2
dummy1, 'En fin insert here', Finland, 238, XXL, 96, 653, Blue, 200, 3
Cubus, 'En fin insert here', Germany, 460, SX, 267, 199, Yellow, 164, 1
QM, 'En fin insert here', Finland, 501, L, 1102, 381, Blue, 129, 1
QM, 'En fin insert here', Finland, 621, XL, 2050, 100, Cyan, 21, 3
dummy1, 'En fin insert here', Finland, 962, L, 877, 935, Blue, 174, 2
QM, 'En fin insert here', New Zealand, 446, S, 151, 1002, Blue, 79, 3
Cubus, 'En fin insert here', Norway, 362, XL, 1192, 1064, Purple, 59, 2
dummy1, 'En fin insert here', New Zealand, 1137, SX, 72, 807, Blue, 61, 3
HM, 'En fin insert here', Denmark, 1086, M, 1204, 579, Purple, 49, 1
QM, 'En fin insert here', Denmark, 768, S, 1967, 686, Pink, 141, 1
HM, 'En fin insert here', Finland, 752, XXL, 517, 913, Purple, 30, 2
Cubus, 'En fin insert here', Finland, 676, SX, 1822, 360, Pink, 181, 2
QM, 'En fin insert here', Norway, 408, S, 1970, 1018, Blue, 142, 2
QM, 'En fin insert here', Finland, 397, XL, 1637, 500, Cyan, 18, 2
